lang,en,de,zh
name,Yudong Sun,Yudong Sun,孙毓栋
expertise,"Physicist, Developer","Physiker, Softwarentwickler",物理学家、编码员
small_expertise,"Language Enthusiast, Photographer","Sprachenthusiast, Photograf",语言、摄影爱好者
countries,Singapore / Germany,Singapur / Deutschland,新加坡 / 德国
linkedin,My LinkedIn Page,Meine LinkedIn Seite,我的领英
about_me,About Me,Über Mich,我的简历
github,My GitHub Page,Meine GitHub Seite,我的GitHub页面
welcome_header,Welcome!,Willkommen!,欢迎!
welcome,"Hey there! Thanks for dropping by! I am a physicist, a programmer and generally a hands-on kinda guy. I prefer making things than just talking about them on paper. <br>If you have a job for me, or simply want to talk, you may <a href=""#contact"">contact me below</a>!","Hey, danke dass du vorbei schaust! Ich bin Physiker, Programmierer und ein praktischer Typ. <br>Wenn du einen Job für mich hast, oder einfach mit mir reden willst, kannst du mich gerne <a href=""#contact"">kontaktieren</a>!","你好！物理、开发程序是我的爱好。想要联系我的话，可以通过<a href=""#contact"">以下描述的途径</a>！"
projects,Projects,Projekte,我做过的项目
nanosquared,Automated M&sup2; Measurement to evaluate laser beam quality. Achieved through integration of different hardware and software components,Automatisierte M&sup2; Laserstrahlqualität Messung durch Integration von verschiedenen Hardware- und Softwarekomponenten.,自动化M&sup2;激光光束品质因数测量系统。
photonLauncher,"<ul><li>Setting up of lab infrastructure and network</li> <li>Development of automation techniques for data collection through equipment interfacing scripts on Linux</li><li>Remote monitoring, experimentation and extraction of data.</li><li>Linux system administration</li><ul>",<ul><li>Aufbau von Laborinfrastruktur und Netzwerk</li> <li>Entwicklung von Automationstechniken durch Geräte-Interfacing Skripte </li><li>Fernüberwachung und -messung.</li><li>Linux Administration</li><ul>,<ul><li>实验室设施与网络建设</li> <li>自动化实验系统的开发</li><li>远程管理与数据采购</li><li>Linux 系统管理</li><ul>
contact,Contact Me!,Kontakt,联系
email,E-Mail,E-Mail,电邮
